5106760	Adelphi	Adelphi		40.68094	-73.96458	P	PPLX	US		NY	047			0	24	30	America/New_York	2006-08-24
5108135	Battery Park City	Battery Park City	Battery Park	40.71149	-74.01625	P	PPLX	US		NY	061			0	0	0	America/New_York	2008-05-21
5108182	Bayberry	Bayberry		43.14646	-76.2227	P	PPLX	US		NY	067	16067		0	122	132	America/New_York	2017-05-23
5108554	Bedford-Stuyvesant	Bedford-Stuyvesant	Bed-Stuy,Bedford,Bedford Stuyvesant,Bedford-Stuyvesant,Bedford–Stuyvesant,Stuyvesant,beddofodo=sutaibesanto,bedeupeodeuseutaibeseonteu,Бедфорд — Стайвесант,בעדפארד סטייוועסענט,ベッドフォード＝スタイベサント,베드퍼드스타이베선트	40.68344	-73.94125	P	PPLX	US		NY	047			0	15	15	America/New_York	2014-12-17
5109349	Black Creek Village	Black Creek Village	Black Creek Village,Love Canal	43.08645	-78.94976	P	PPLX	US		NY	063	51055		0	174	174	America/New_York	2017-05-23
5110300	Brooklyn	Brooklyn		42.43312	-78.74836	P	PPLX	US		NY	009	22678		0	421	421	America/New_York	2017-05-23
5110309	Brooklyn Heights	Brooklyn Heights	Brookland Heights,Brooklyn Heights,Brooklyn Village,bu lu ke lin gao de,布鲁克林高地	40.69538	-73.99375	P	PPLX	US		NY	047			0	26	34	America/New_York	2015-07-09
5112293	Charlotte Gardens	Charlotte Gardens		40.83482	-73.89236	P	PPLX	US		NY	005			0	23	28	America/New_York	2007-02-14
5112378	Cheektowasa	Cheektowasa		42.89173	-78.77475	P	PPLX	US		NY	029	15011		0	189	190	America/New_York	2017-05-23
5112388	Chelsea	Chelsea	Chelsi,chelsi,cherushi,que r xi,Челси,טשעלסי,ჩელსი,チェルシー,雀兒喜,첼시	40.74649	-74.00153	P	PPLX	US		NY	061			0	5	7	America/New_York	2014-10-08
5112540	Chinatown	Chinatown	Chajna-taun,chainataun,man ha dun hua bu,zyynhtʼwn,Чайна-таун,טשיינעטאון,ציינהטאון,チャイナタウン,曼哈頓華埠,차이나타운	40.71649	-73.99625	P	PPLX	US		NY	061			0	12	20	America/New_York	2006-07-12
5112766	Claremont	Claremont		41.16954	-73.84847	P	PPLX	US		NY	119	55541		0	98	102	America/New_York	2017-05-23
5113090	Cobbs Hill	Cobbs Hill	Cobb Hill,Cobbs Hill	43.13978	-77.56333	P	PPLX	US		NY	055	63000		0	165	178	America/New_York	2017-05-23
5115985	East New York	East New York	East New York,Oostwoud,Starrett City	40.66677	-73.88236	P	PPLX	US		NY	047			173198	6	8	America/New_York	2007-06-19
5116093	East Village	East Village	Ist-Villidzh,dong cun,iseuteubilliji,ʼyst wylg,Ист-Виллидж,איסט וויליזש,איסט וילג,イースト・ヴィレッジ,东村,이스트빌리지	40.72927	-73.98736	P	PPLX	US		NY	061			0	10	15	America/New_York	2007-02-14
5117661	Fort Greene	Fort Greene		40.69371	-73.96708	P	PPLX	US		NY	047			0	18	17	America/New_York	2006-08-15
5118945	Governor Alfred E Smith Houses	Governor Alfred E Smith Houses		40.71066	-73.99903	P	PPLX	US		NY	061			0	4	11	America/New_York	2007-02-14
5119383	Greenpoint	Greenpoint	Green Point,Greenpoint,Grinpojnt,Гринпойнт	40.72371	-73.95097	P	PPLX	US		NY	047			0	4	6	America/New_York	2006-08-15
5120442	Hell's Kitchen	Hell's Kitchen	La Cocina del Infierno,Midtown West	40.76496	-73.9909	P	PPLX	US		NY	061			0	9	13	America/New_York	2017-04-22
5122720	John Adams Houses	John Adams Houses		40.81649	-73.90625	P	PPLX	US		NY	005			0	14	22	America/New_York	2007-02-14
5123508	Kips Bay	Kips Bay		40.73955	-73.97708	P	PPLX	US		NY	061			0	7	14	America/New_York	2007-02-14
5123594	Knickerbocker Village	Knickerbocker Village		40.71056	-73.99583	P	PPLX	US		NY	061			0	3	19	America/New_York	2007-02-14
5124297	Lewis S Davidson Senior Houses	Lewis S Davidson Senior Houses		40.82732	-73.89903	P	PPLX	US		NY	005			0	18	24	America/New_York	2007-02-14
5125061	Loisaida	Loisaida	Alphabetville,Loisaida	40.7251	-73.97958	P	PPLX	US		NY	061			0	4	8	America/New_York	2007-02-14
5125125	Long Island City	Long Island City	Blissville,Dutch Kills,Hunter's Point,Long Island,Long Island City,Long-Ajlend-Siti,Middletown,long-aillaendeusiti,zhang dao shi,Лонг-Айленд-Сити,לאנג איילענד סיטי,لانگ آئلینڈ سٹی,長島市,롱아일랜드시티	40.74482	-73.94875	P	PPLX	US		NY	081			25595	4	7	America/New_York	2016-04-11
5125379	Love Canal	Love Canal	Lav-Kanal,ai he shi jian,Лав-Канал,愛河事件	43.08339	-78.94893	P	PPLX	US		NY	063	51055		0	175	178	America/New_York	2017-05-23
5125409	Lower East Side	Lower East Side	Nizhnij Ist-Sajd,lo-eoiseuteusaideu,xia dong cheng,Нижний Ист-Сайд,לאוער איסט סייד,לואר איסט סייד,ロウアー・イースト・サイド,下东城,로어이스트사이드	40.71594	-73.98681	P	PPLX	US		NY	061			0	10	21	America/New_York	2014-10-08
5125772	Manhattan Beach	Manhattan Beach		40.57733	-73.94708	P	PPLX	US		NY	047			0	1	4	America/New_York	2006-08-27
5126553	Melrose Houses	Melrose Houses		40.82093	-73.91875	P	PPLX	US		NY	005			0	15	19	America/New_York	2007-02-14
5126919	Mill Brook Houses	Mill Brook Houses		40.80593	-73.91903	P	PPLX	US		NY	005			0	7	14	America/New_York	2007-02-14
5128195	Murray Hill	Murray Hill		40.74816	-73.97875	P	PPLX	US		NY	061			0	20	35	America/New_York	2007-02-14
5130561	Park Slope	Park Slope	Park Slope,Prospect Hill	40.6701	-73.98597	P	PPLX	US		NY	047			0	15	17	America/New_York	2006-08-15
5130702	Patterson Houses	Patterson Houses		40.81399	-73.92347	P	PPLX	US		NY	005			0	8	13	America/New_York	2007-02-14
5131686	Plaza Borinquen	Plaza Borinquen		40.80843	-73.92097	P	PPLX	US		NY	005			0	9	12	America/New_York	2007-02-14
5131688	Plaza De Los Angeles	Plaza De Los Angeles		40.82038	-73.91347	P	PPLX	US		NY	005			0	9	12	America/New_York	2007-02-14
5133266	Queens	Queens		40.74982	-73.79763	P	PPLX	US		NY	081			0	13	14	America/New_York	2007-02-14
5133547	Red Hook	Red Hook		40.6751	-74.00958	P	PPLX	US		NY	047			0	2	2	America/New_York	2006-08-15
5133747	Rhinelander Gardens (historical)	Rhinelander Gardens (historical)		40.73538	-73.99903	P	PPLX	US		NY	061			0	7	13	America/New_York	2009-03-09
5133803	Richmond	Richmond	Coccles Town,Cuckold's Town,Richmond,Richmond Town,Ричмонд	40.57399	-74.13042	P	PPLX	US		NY	085			0	17	22	America/New_York	2010-01-29
5133858	Ridgewood	Ridgewood	Evergreen,Ridgewood,رج وڈ، کوئینز	40.7001	-73.90569	P	PPLX	US		NY	081			0	23	22	America/New_York	2009-11-17
